staff,master_ai_id,activity_number,permit_no,type_action_code,owner,company_name,received_date,incomplete_date,complete_date,issue_due_date,issue_revised_date,issue_date,deny_date,withdraw_date,close_date
Teri Waldron,40,PRN20120004,0997M1,Substitutions/Additions,"United Materials, LLP",Roswell Ready Mix - Crusher 1 GCP2-0997,12/13/2012 14:31,,,1/12/2013 0:00,1/12/2013 0:00,12/21/2012 11:12,,,
Teri Waldron,40,PRN20130001,GCP2-0997,Substitutions/Additions,"United Materials, LLP",Roswell Ready Mix - Crusher 1 GCP2-0997,2/4/2013 8:49,,,3/6/2013 0:00,3/6/2013 0:00,2/11/2013 9:58,,,
Teri Waldron,40,PRN20140002,0997M1R1,Substitutions/Additions,"United Materials, LLP",Roswell Ready Mix - Aggregate Facility No1,6/27/2014 16:36,,,7/27/2014 0:00,7/27/2014 0:00,6/30/2014 16:36,,,
Teri Waldron,40,PRN20170001,0997M1R2,Substitutions/Additions,"United Materials, LLP",United Materials LLP - Aggregate Facility No1 GCP2-0997,12/4/2017 12:24,,,1/3/2018 0:00,1/3/2018 0:00,12/8/2017 11:45,,,
Denise Huff,40,PRN20190001,0997M1R2,Substitutions/Additions,"United Materials, LLP",United Materials - Aggregate Facility No1 GCP2-0997,5/6/2019 11:21,,,6/5/2019 0:00,6/5/2019 0:00,5/10/2019 11:24,,,
Deepika Saikrishnan,40,PRN20200001,0997M1R2,Substitutions/Additions,"United Materials, LLP",United Materials - Aggregate Facility No1 GCP2-0997,4/27/2020 11:44,,,5/27/2020 0:00,5/27/2020 0:00,5/26/2020 14:11,,,
Deepika Saikrishnan,40,PRN20200002,0997M1R2,Substitutions/Additions,"United Materials, LLP",United Materials - Aggregate Facility No1 GCP2-0997,5/26/2020 8:48,,,6/25/2020 0:00,6/25/2020 0:00,6/25/2020 9:42,,,
Bruce Taylor,41,PRN20030002,1266R1,Notice of Intent ,Compressor Systems Inc,Compressor Systems Inc - Caterpillar G399 TALE No 1266,6/25/2003 16:50,,,8/20/2003 0:00,8/20/2003 0:00,7/23/2003 13:42,,,12/7/2010 10:51
Teri Waldron,41,PRN20100001,1266R2,Notice of Intent ,Compressor Systems Inc,Compressor Systems Inc - Caterpillar G399 TALE No1266,12/7/2010 10:53,,,1/6/2011 0:00,1/6/2011 0:00,,,,12/7/2010 10:53
Marilynn Miller,42,PRN20040001,1531R2,Administrative Revision ,Holly Energy Partners - Operating LP,Navajo Refining - Roswell Fuel Terminal,8/2/2004 14:29,,,,,8/23/2004 14:24,,,1/13/2014 17:46
Teri Waldron,42,PRN20130001,1531R2,Administrative Revision ,Holly Energy Partners - Operating LP,Holly Energy Partners - Roswell Fuel Terminal,1/13/2014 9:13,,,2/12/2014 0:00,2/12/2014 0:00,,,,1/17/2014 17:47
Tasha Burns,43,PRN20170002,1372M1R1,Termination/Revocation,Millennium Transit Services,Millennium Transit Services,8/7/2017 17:53,,,9/6/2017 0:00,9/6/2017 0:00,,,,10/17/2017 12:49
Denise Huff,44,PRN20170001,1697,Administrative Revision ,EOG Resources Inc - Artesia Division,"EOG Y Resources, Inc. - Trailblazer No2 Compressor Station",1/4/2017 15:54,,,2/3/2017 0:00,2/3/2017 0:00,,,,1/4/2017 15:54
Teri Waldron,46,PRN20170002,1669M1R1,Administrative Revision ,Mack Chase Farms LLC,Farmers Coop Assoc - Cotton Gin No1669,5/18/2017 8:54,,,6/17/2017 0:00,6/17/2017 0:00,,,8/2/2017 16:18,8/3/2017 14:02
Denise Huff,46,PRN20170003,1669M1R2,Administrative Revision ,Mack Chase Farms LLC,Farmers Coop Assoc - Cotton Gin No1669,7/31/2017 11:45,,,8/30/2017 0:00,8/30/2017 0:00,,,,8/4/2017 13:28
Jay Stimmel,46,PRN20060001,1669M1,Regular-Significant Revision ,Mack Chase Farms LLC,Farmers Coop Assoc - Cotton Gin No1669,9/12/2006 13:58,10/12/2006 18:03,8/1/2007 14:36,10/30/2007 0:00,10/30/2007 0:00,10/30/2007 7:30,,,8/3/2017 14:00
Marilynn Miller,47,PRN20060001,1624M1R1,Administrative Revision ,Johnny Berry,Hi-Pro Feeds - Feed Mill No1624,8/28/2006 15:43,,,,,9/11/2006 16:52,,,4/21/2020 10:34
Teri Waldron,47,PRN20120001,1624M1R2,Administrative Revision ,Johnny Berry,"Hi-Pro Feeds, Inc. - Feed Mill No.1624",4/4/2012 15:27,,,5/4/2012 0:00,5/4/2012 0:00,4/18/2012 16:00,,,4/21/2020 10:33
Arianna Espinoza,47,PRN20190001,1624M2R1,Administrative Revision ,Johnny Berry,Dexter Facility,5/15/2019 9:44,,,6/14/2019 0:00,6/14/2019 0:00,6/14/2019 12:55,,,4/21/2020 10:31
Arianna Espinoza,47,PRN20200001,1624M2R2,Administrative Revision ,Johnny Berry,Dexter Facility,4/21/2020 10:07,,,5/21/2020 0:00,5/21/2020 0:00,,,,4/21/2020 10:28
Samuel Speaker,47,PRN20120002,1624M2,Regular-Significant Revision ,Johnny Berry,Dexter Facility,10/9/2012 15:47,,11/7/2012 9:55,2/5/2013 0:00,2/5/2013 0:00,2/5/2013 8:35,,,4/21/2020 10:31
Arianna Espinoza,50,PRN20200001,1596R1,Administrative Revision ,Constructors Inc,350TPH Crusher No1596,3/6/2020 14:44,,,4/5/2020 0:00,4/5/2020 0:00,,,,3/18/2020 10:22
Don Meyer,50,PRN19950001,1596,Relocation,Constructors Inc,Armstrong Construction Co - 350TPH Crusher No1596,,,,10/11/1995 0:00,10/11/1995 0:00,10/11/1995 0:00,,,3/18/2020 10:25
Don Meyer,50,PRN20000001,1596,Relocation,Constructors Inc,Armstrong Construction Co - 350TPH Crusher No1596,,,,4/3/2000 0:00,4/3/2000 0:00,4/3/2000 0:00,,,3/18/2020 10:23
Tasha Burns,51,PRN20180001,1907M3R1,Administrative Revision ,Lucid Artesia Company,"Lucid Artesia - Buffalo Valley Compressor Station, GCP4-1907",9/28/2018 16:41,,,10/28/2018 0:00,10/28/2018 0:00,11/9/2018 9:02,,,
Arianna Espinoza,51,PRN20190001,1907M3R2,Administrative Revision ,Lucid Artesia Company,"Lucid Artesia - Buffalo Valley Compressor Station, GCP4-1907",10/11/2019 10:50,,,11/10/2019 0:00,11/10/2019 0:00,11/6/2019 14:06,,,
Roslyn Higgin,52,PRN20160001,1922M1R3,Technical Revision ,"NuStar Logistics, LP",Hope Pump Station,4/12/2016 11:59,,,5/12/2016 0:00,5/12/2016 0:00,5/10/2016 14:26,,,
Teri Waldron,57,PRN20120001,2510M1R3,Administrative Revision ,The Scoular Company,Hi-Pro Feeds - Feed Mill No2510,4/4/2012 17:06,,,5/4/2012 0:00,5/4/2012 0:00,4/4/2012 17:06,,,
Teri Waldron,57,PRN20140001,2510M1R4,Administrative Revision ,The Scoular Company,Scoular/DBS - Feed Mill No2510,6/2/2014 16:04,,,7/2/2014 0:00,7/2/2014 0:00,6/10/2014 17:40,,,
Joseph Kimbrell,57,PRN20100001,DC 2510M1R2,Data Correction,The Scoular Company,Unifeed Hi-Pro Feed - Feed Mill No2510,4/9/2010 8:38,,,5/9/2010 0:00,5/9/2010 0:00,4/9/2010 8:38,,,
Denise Huff,58,PRN20170001,2541M3R1,Administrative Revision ,IACX Roswell LLC,"IACX Roswell, LLC - Wright Compressor Station, GCP1-2541",9/5/2017 15:50,,,10/5/2017 0:00,10/5/2017 0:00,10/4/2017 15:52,,,7/8/2019 15:44
Joseph Kimbrell,58,PRN20090001,DC2541M3,Data Correction,IACX Roswell LLC,"Wright Compressor Station, GCP1-2541",12/2/2009 9:26,,,1/1/2010 0:00,1/1/2010 0:00,12/2/2009 9:26,,,7/8/2019 15:47
Joseph Kimbrell,58,PRN20090002,DC 2541M3,Data Correction,IACX Roswell LLC,"Agave Energy - Wright Compressor Station, GCP1-2541",,,,,,12/12/2009 10:20,,,7/8/2019 15:48
Deepika Saikrishnan,58,PRN20190001,2541M5,GCP - Oil and Gas,IACX Roswell LLC,IACX - Wright Compressor Station,6/7/2019 11:26,,,7/7/2019 0:00,7/7/2019 0:00,7/5/2019 12:35,,,
Scott Anderson,58,PRN20010003,2541M2,GCP1-Significant Revision ,IACX Roswell LLC,Wright Compressor Station,12/12/2002 0:00,,,1/11/2003 0:00,1/11/2003 0:00,1/11/2003 0:00,,,7/8/2019 15:40
Mary Gerhart,58,PRN20080001,2541M3,GCP1-Significant Revision ,IACX Roswell LLC,"Wright Compressor Station, GCP1-2541",11/3/2008 15:45,,,12/3/2008 0:00,12/3/2008 0:00,12/3/2008 15:23,,,7/8/2019 15:47
Kathleen Primm,58,PRN20170002,2541M4,GCP1-Significant Revision ,IACX Roswell LLC,IACX - Wright Compressor Station,9/11/2017 16:46,,,10/11/2017 0:00,10/11/2017 0:00,10/5/2017 9:43,,,7/8/2019 15:39
Kerry Carr,96,PRN20100001,2304R2,No Permit Required,"El Paso Energy Exploration and Production Company, LP",El Paso Energy Raton - VPR A1 Compressor Station No2304,12/20/2010 10:46,,,,,1/20/2011 9:19,,,
Longying Dong,99,PRN20040001,2442M3R1,Administrative Revision ,El Paso Energy Raton LLC,Castle Rock Compressor,8/25/2004 12:14,,,,,9/20/2004 11:49,,,4/13/2010 14:01
Joseph Kimbrell,99,PRN20090001,DC 2442M5,Data Correction,El Paso Energy Raton LLC,Castle Rock Compressor Station GCP1-2442,12/31/2009 16:10,,,1/30/2010 0:00,1/30/2010 0:00,12/31/2009 16:10,,,4/13/2010 13:59
Longying Dong,99,PRN20040002,2442M4,GCP1-Significant Revision ,El Paso Energy Raton LLC,Castle Rock Compressor Station,9/28/2004 14:35,,,10/28/2004 0:00,10/28/2004 0:00,10/7/2004 14:18,,,4/13/2010 14:00
Elizabeth Kuehn,99,PRN20050001,2442M5,GCP1-Significant Revision ,El Paso Energy Raton LLC,Castle Rock Compressor Station GCP1-2442,3/3/2005 11:36,,,4/2/2005 0:00,4/2/2005 0:00,3/28/2005 9:30,,,4/13/2010 14:00
Samuel Speaker,99,PRN20100001,2442M5R1,No Permit Required,El Paso Energy Raton LLC,Castle Rock Compressor Station,3/29/2010 8:17,,,,,4/13/2010 10:18,,,
Samuel Speaker,100,PRN20100001,2547R1,No Permit Required,El Paso Energy Raton LLC,Upper York Canyon Compressor Station,3/29/2010 8:05,,,,,,,,4/14/2010 9:38
Elizabeth Kuehn,106,PRN20120002,1517M4R2,Administrative Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,12/5/2012 14:58,,,1/29/2013 0:00,1/29/2013 0:00,1/22/2013 14:57,,,
Teri Waldron,106,PRN20150001,1517M5R2,Administrative Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,10/5/2015 10:17,,,11/4/2015 0:00,11/4/2015 0:00,10/6/2015 12:03,,,
Teri Waldron,106,PRN20180001,1517M5R3,Administrative Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,1/29/2018 12:42,,,2/28/2018 12:42,2/28/2018 12:42,2/2/2018 12:46,,,
Joseph Kimbrell,106,PRN20190001,1517M5R4,Administrative Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,10/3/2019 10:57,,,11/2/2019 0:00,11/2/2019 0:00,10/18/2019 11:01,,,
Joseph Kimbrell,106,PRN20200001,1517M5R5,Administrative Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,7/27/2020 11:56,,,8/26/2020 0:00,8/26/2020 0:00,8/12/2020 10:16,,,
Joseph Kimbrell,106,PRN20200002,1517M5R6,Administrative Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,8/27/2020 9:00,,,9/26/2020 0:00,9/26/2020 0:00,8/31/2020 9:00,,,
Joseph Kimbrell,106,PRN20200003,1517M5R7,Administrative Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,9/2/2020 9:06,,,10/2/2020 0:00,10/2/2020 0:00,9/8/2020 11:40,,,
Joseph Kimbrell,106,PRN20200004,1517M5R8,Administrative Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,9/25/2020 16:02,,,10/25/2020 0:00,10/25/2020 0:00,9/28/2020 10:46,,,
Joseph Kimbrell,106,PRN20200005,1517M5R9,Administrative Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,11/25/2020 16:01,,,12/25/2020 0:00,12/25/2020 0:00,12/2/2020 16:19,,,
Elizabeth Kuehn,106,PRN20100001,1517M4,Regular-Significant Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,10/6/2010 17:27,,11/5/2010 16:12,5/4/2011 0:00,5/4/2011 0:00,3/3/2011 14:45,,,
Joseph Kimbrell,106,PRN20130001,1517M5,Regular-Significant Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,6/28/2013 11:34,,7/28/2013 8:16,10/26/2013 0:00,10/26/2013 0:00,9/21/2013 7:44,,,
Elizabeth Kuehn,106,PRN20120001,1517M4R1,Technical Revision ,US Air Force Fb4855 - Cannon AFB,Cannon Air Force Base,2/10/2012 9:16,,,3/11/2012 0:00,3/11/2012 0:00,3/6/2012 9:40,,,
