,id,name,type_code,type,status_code,status,ogrid,ogrid_name,district_code,district,county_code,county,ulstr,latitude,longitude,projection,directional_status,details,files,status2,symbology,year_spudded,spud_date,measured_vertical_depth,true_vertical_depth,pool_id_list,effective_date,plug_date,GlobalID,geometry
400,30-045-35479,NAGEEZI UNIT #223H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,M-27-24N-09W,36.28128,-107.78419,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35479&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045354790000&GISReferenceSource=ArcGISOnline,A,OA,2014.0,2014-07-28 00:00:00+00:00,10338.0,0.0,"[5890] BISTI LOWER-GALLUP (O); [97232] BASIN MANCOS; [98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{45B42BB8-75B0-4A85-BDF2-5CE1E56A375A},POINT (-107.78419 36.28128000000004)
401,30-045-35583,NAGEEZI UNIT #321H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,D-34-24N-09W,36.274721,-107.783583,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35583&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045355830000&GISReferenceSource=ArcGISOnline,A,OA,2014.0,2014-08-16 00:00:00+00:00,10350.0,0.0,"[98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{EB222DA5-6CC3-4389-818C-5C9F3388341D},POINT (-107.783583 36.27472100000006)
455,30-045-35859,NAGEEZI UNIT #508H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,A-09-23N-09W,36.248044,-107.786519,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35859&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045358590000&GISReferenceSource=ArcGISOnline,A,OA,2019.0,2019-10-10 00:00:00+00:00,13150.0,4876.0,"[98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{97C5A33B-DDA9-42F5-91BB-9C2E895F211E},POINT (-107.7865189999999 36.24804400000005)
1220,30-045-28456,FEDERAL D #005,O    ,Oil,A,Active,372834,"EPIC ENERGY, L.L.C.",3,Aztec,45,San Juan,E-10-23N-09W,36.2427902,-107.7837906,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-28456&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045284560000&GISReferenceSource=ArcGISOnline,A,OA,1991.0,1991-03-08 00:00:00+00:00,5040.0,5040.0,"[5860] BISTI, S-GALLUP (O)",2018-03-09 00:00:00+00:00,,{EC044780-2228-435B-AB0A-81D63E3624A0},POINT (-107.7837906 36.24279020000006)
1352,30-045-13020,RUDMAN FEDERAL #001,O    ,Oil,A,Active,372834,"EPIC ENERGY, L.L.C.",3,Aztec,45,San Juan,E-27-25N-09W,36.3745461,-107.7832413,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-13020&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045130200000&GISReferenceSource=ArcGISOnline,A,OA,1959.0,1959-03-19 00:00:00+00:00,6527.0,6527.0,[64290] WHITE WASH MANCOS DAKOTA,2018-03-09 00:00:00+00:00,,{BA7EABBF-8DEF-4A4D-B2C0-1D875A1C4152},POINT (-107.7832413 36.37454610000003)
1482,30-045-09055,SANGRE DE CRISTO #001,O    ,Oil,A,Active,371618,RELIABLE PRODUCTION LLC,3,Aztec,45,San Juan,D-34-30N-11W,36.773304,-107.9865189,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-09055&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045090550000&GISReferenceSource=ArcGISOnline,A,OA,1932.0,1932-08-13 00:00:00+00:00,1424.0,1424.0,[48260] OSWELL FARMINGTON,2017-03-13 00:00:00+00:00,,{C11A3948-D4F7-4513-82AF-9C9ADB190A1E},POINT (-107.9865189 36.77330400000005)
1756,30-045-22676,OLD TRADING POST #001,O    ,Oil,A,Active,292875,"NNOGC EXPLORATION AND PRODUCTION, LLC",3,Aztec,45,San Juan,N-10-26N-14W,36.4975548,-108.3186111,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-22676&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045226760000&GISReferenceSource=ArcGISOnline,A,OA,1977.0,1977-08-15 00:00:00+00:00,5986.0,5986.0,[5890] BISTI LOWER-GALLUP (O),2012-10-12 00:00:00+00:00,,{3D22284D-906A-4547-A0C8-EAB60BB3CE0B},POINT (-108.3186110999999 36.49755480000005)
2326,30-045-29378,HOP-SING #001,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,B-27-23N-11W,36.2023926,-107.990654,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-29378&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045293780000&GISReferenceSource=ArcGISOnline,A,OA,1996.0,1996-06-21 00:00:00+00:00,1480.0,1480.0,"[71629] BASIN FRUITLAND COAL (GAS); [96331] PIERRE MESA, MESAVERDE (O); [96563] WILDCAT 23N11W27B, GALLUP (O)",1996-11-25 00:00:00+00:00,,{0F1008A4-7DC2-4F99-8596-1C1ED938AC9E},POINT (-107.9906539999999 36.20239260000005)
2687,30-045-35736,OSPREY 30 #007,O    ,Oil,A,Active,310262,"BRIDGECREEK RESOURCES (COLORADO), LLC",3,Aztec,45,San Juan,G-30-31N-14W,36.8738951,-108.3475802,NAD83,D,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35736&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045357360000&GISReferenceSource=ArcGISOnline,A,OA,2015.0,2015-11-14 00:00:00+00:00,4990.0,4981.0,[62510] VERDE GALLUP,2015-11-17 00:00:00+00:00,,{658E049B-2D04-48B2-BD2E-5DDDFB48851B},POINT (-108.3475802 36.87389510000003)
3035,30-045-35628,PRAIRIE FALCON 19 #001,O    ,Oil,A,Active,310262,"BRIDGECREEK RESOURCES (COLORADO), LLC",3,Aztec,45,San Juan,B-19-31N-14W,36.89189638,-108.34840508,,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35628&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045356280000&GISReferenceSource=ArcGISOnline,A,OA,2015.0,2015-01-18 00:00:00+00:00,3269.0,3217.0,[62510] VERDE GALLUP,2015-01-27 00:00:00+00:00,,{617ED1A9-7B76-405E-996F-CA9AD671AB6D},POINT (-108.34840508 36.89189638000005)
3132,30-045-10836,UTE INDIAN #002,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,O-07-31N-14W,36.9100189,-108.3483963,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10836&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045108360000&GISReferenceSource=ArcGISOnline,A,OA,1957.0,1957-08-02 00:00:00+00:00,2665.0,2665.0,[62510] VERDE GALLUP,2003-02-02 00:00:00+00:00,,{6E32E091-23A8-4BE6-AAF7-609D88FD303D},POINT (-108.3483963 36.91001890000007)
3386,30-045-35737,PRAIRIE FALCON 19 29 #017,O    ,Oil,A,Active,310262,"BRIDGECREEK RESOURCES (COLORADO), LLC",3,Aztec,45,San Juan,P-19-31N-14W,36.8796222,-108.3427356,NAD83,D,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35737&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045357370000&GISReferenceSource=ArcGISOnline,A,OA,2015.0,2015-11-24 00:00:00+00:00,4200.0,4177.0,[62510] VERDE GALLUP,2015-11-25 00:00:00+00:00,,{06C404A2-6FE8-42AB-9A6C-D0D0860FF121},POINT (-108.3427356 36.87962220000003)
3472,30-045-35631,HARRIS HAWK 20 #001,O    ,Oil,A,Active,310262,"BRIDGECREEK RESOURCES (COLORADO), LLC",3,Aztec,45,San Juan,J-20-31N-14W,36.88464645,-108.33034046,,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35631&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045356310000&GISReferenceSource=ArcGISOnline,A,OA,2015.0,2015-02-12 00:00:00+00:00,3578.0,3550.0,[62510] VERDE GALLUP,2015-01-21 00:00:00+00:00,,{2E4368FD-AB46-4DCB-A8DD-234208C942CB},POINT (-108.3303404599999 36.88464645000005)
3761,30-045-24905,ELWOOD P. DOWD #002,O,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,P-10-24N-09W,36.3239136,-107.7704468,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-24905&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045249050000&GISReferenceSource=ArcGISOnline,A,OA,1981.0,1981-03-16 00:00:00+00:00,6505.0,6505.0,[64290] WHITE WASH MANCOS DAKOTA,1981-05-01 00:00:00+00:00,,{854F1DD5-2018-4E9D-9DAA-309299275DB5},POINT (-107.7704467999999 36.32391360000003)
3838,30-045-25673,CONGRESS #018,O    ,Oil,A,Active,372171,HILCORP ENERGY COMPANY,3,Aztec,45,San Juan,K-27-29N-11W,36.6955833,-107.9815063,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25673&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045256730000&GISReferenceSource=ArcGISOnline,A,OA,1983.0,1983-05-07 00:00:00+00:00,6150.0,6150.0,[2290] ARMENTA-GALLUP (O); [77200] FULCHER KUTZ PICTURED CLIFFS (GAS),2017-08-01 00:00:00+00:00,,{C4A03609-15EA-42B5-8B18-A8DA3F137F7C},POINT (-107.9815063 36.69558330000007)
3861,30-045-08142,NW CHA CHA UNIT #011,O    ,Oil,A,Active,372171,HILCORP ENERGY COMPANY,3,Aztec,45,San Juan,A-20-29N-14W,36.7173615,-108.3252106,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-08142&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045081420000&GISReferenceSource=ArcGISOnline,A,OA,1960.0,1960-09-05 00:00:00+00:00,4832.0,4832.0,[11880] CHA CHA GALLUP; [71629] BASIN FRUITLAND COAL (GAS),2019-07-01 00:00:00+00:00,,{0FC53F4E-351B-474E-BF8D-E19F36B0966C},POINT (-108.3252106 36.71736150000004)
3981,30-045-10748,UTE INDIAN E #001,O    ,Oil,A,Active,372834,"EPIC ENERGY, L.L.C.",3,Aztec,45,San Juan,E-17-31N-14W,36.902935,-108.3398056,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10748&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045107480000&GISReferenceSource=ArcGISOnline,A,OA,1957.0,1957-07-02 00:00:00+00:00,2640.0,2640.0,[62510] VERDE GALLUP,2019-01-23 00:00:00+00:00,,{EAF923AE-6A26-43DC-9381-752AC116F80B},POINT (-108.3398056 36.90293500000007)
4035,30-045-35797,W LYBROOK UNIT #767H,O    ,Oil,A,Active,372286,"ENDURING RESOURCES, LLC",3,Aztec,45,San Juan,B-34-23N-09W,36.189213,-107.772646,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35797&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045357970000&GISReferenceSource=ArcGISOnline,A,OA,2017.0,2017-04-04 00:00:00+00:00,10120.0,4477.0,[98157] LYBROOK MANCOS W,2018-04-19 00:00:00+00:00,,{BE098D19-F1F4-40C9-BA6C-0134334778E3},POINT (-107.772646 36.18921300000005)
4076,30-045-05915,OLD TRADING POST #001,O,Oil,A,Active,169864,KRYSTAL ENERGY INC,3,Aztec,45,San Juan,P-10-26N-14W,36.4975586,-108.3096237,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-05915&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045059150000&GISReferenceSource=ArcGISOnline,A,OA,1958.0,1958-05-14 00:00:00+00:00,6062.0,6062.0,[5890] BISTI LOWER-GALLUP (O),1997-05-01 00:00:00+00:00,,{818CADD8-D6DE-4836-A908-70E578951BB4},POINT (-108.3096237 36.49755860000005)
4598,30-045-28377,FEDERAL D #006,O    ,Oil,A,Active,372834,"EPIC ENERGY, L.L.C.",3,Aztec,45,San Juan,M-10-23N-09W,36.2360954,-107.78302,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-28377&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045283770000&GISReferenceSource=ArcGISOnline,A,OA,1991.0,1991-02-13 00:00:00+00:00,4950.0,4950.0,"[5860] BISTI, S-GALLUP (O)",2018-03-09 00:00:00+00:00,,{3006566D-7E0B-4EDC-83F4-EBA4B755B6BE},POINT (-107.78302 36.23609540000007)
4897,30-045-35842,NAGEEZI UNIT #406H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,K-03-23N-09W,36.254226,-107.779512,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35842&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045358420000&GISReferenceSource=ArcGISOnline,A,OA,2017.0,2017-05-30 00:00:00+00:00,11045.0,4822.0,"[98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{A68C1845-2DF5-4EA7-B472-38752488E42B},POINT (-107.779512 36.25422600000007)
5097,30-045-28023,ALAMO WASH 34 #032,O    ,Oil,A,Active,13998,MARALEX RESOURCES INC,3,Aztec,45,San Juan,G-34-25N-11W,36.3593979,-107.9903259,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-28023&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045280230000&GISReferenceSource=ArcGISOnline,A,OA,1990.0,1990-10-18 00:00:00+00:00,5195.0,5195.0,[5890] BISTI LOWER-GALLUP (O); [71629] BASIN FRUITLAND COAL (GAS),2004-02-03 00:00:00+00:00,,{26AEC48D-3985-4621-9DB9-94BF246784DA},POINT (-107.9903259 36.35939790000003)
5566,30-045-28455,FEDERAL D #003,O    ,Oil,A,Active,372834,"EPIC ENERGY, L.L.C.",3,Aztec,45,San Juan,O-03-23N-09W,36.2500458,-107.7747116,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-28455&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045284550000&GISReferenceSource=ArcGISOnline,A,OA,1991.0,1991-02-27 00:00:00+00:00,5050.0,5050.0,"[5860] BISTI, S-GALLUP (O)",2018-03-09 00:00:00+00:00,,{9CE62F22-0206-4DC7-A0BC-7AF5BE9DE635},POINT (-107.7747116 36.25004580000007)
5701,30-045-25606,EATON FEDERAL #002,O    ,Oil,A,Active,372171,HILCORP ENERGY COMPANY,3,Aztec,45,San Juan,A-15-28N-11W,36.6681786,-107.9846649,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25606&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045256060000&GISReferenceSource=ArcGISOnline,A,OA,1983.0,1983-04-09 00:00:00+00:00,5850.0,5850.0,[2290] ARMENTA-GALLUP (O),2017-08-01 00:00:00+00:00,,{47274541-33BA-47E0-AAC5-F7AA4C4BC89D},POINT (-107.9846649 36.66817860000003)
5867,30-045-35860,NAGEEZI UNIT #501H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,G-03-23N-09W,36.256239,-107.7724942,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35860&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045358600000&GISReferenceSource=ArcGISOnline,A,OA,2018.0,2018-06-19 00:00:00+00:00,10055.0,4907.0,"[98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{9BB5B74E-1773-4872-8245-0A34D9BC6B24},POINT (-107.7724942 36.25623900000005)
6005,30-045-05223,PATTY #001,O    ,Oil,A,Active,13998,MARALEX RESOURCES INC,3,Aztec,45,San Juan,I-27-25N-11W,36.3701973,-107.9847107,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-05223&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045052230000&GISReferenceSource=ArcGISOnline,A,OA,1956.0,1956-10-03 00:00:00+00:00,5308.0,5308.0,[5890] BISTI LOWER-GALLUP (O),2008-05-01 00:00:00+00:00,,{A3FECAA3-D606-4B2D-813E-A507014831DC},POINT (-107.9847106999999 36.37019730000003)
